title,tags,synopsis,popularity,score,recommendations
Sword Art Online,"virtual reality; trapped in game; high stakes; action; romance","Players are trapped inside a virtual reality MMORPG where death in the game means death in real life.",95,7.2,"Log Horizon; Accel World; No Game No Life"
Log Horizon,"virtual reality; isekai; strategy; economics; politics","Thousands of players are transported into an online game world and must build society through strategy, diplomacy, and systems thinking.",82,7.9,"Sword Art Online; Overlord; No Game No Life"
Legend of the Galactic Heroes,"space opera; politics; war; strategy; military","Two interstellar powers clash across generations through ideology, military genius, and political decay.",78,9.0,"Mobile Suit Gundam; Code Geass; Space Battleship Yamato"
No Game No Life,"games; strategy; fantasy; rules-based conflict; sibling duo","Two genius gamers enter a world where every conflict is decided by games and rules.",88,8.0,"Log Horizon; Sword Art Online; Kakegurui"
Psycho-Pass,"dystopia; crime; psychological; surveillance; ethics","A society governed by a predictive justice system forces agents to question law, morality, and free will.",86,8.3,"Ghost in the Shell; Ergo Proxy; Death Note"
Knights of Sidonia,"space opera; survival; mecha; alien threat; post-human","Humanity survives in a massive generation ship while fighting alien lifeforms in deep space.",70,7.6,"Blame!; Mobile Suit Gundam; Attack on Titan"
Code Geass,"politics; rebellion; mecha; strategy; antihero","A brilliant exiled prince gains a supernatural power and leads a rebellion against an empire.",94,8.7,"Death Note; Legend of the Galactic Heroes; Mobile Suit Gundam"
Made in Abyss,"adventure; dark fantasy; exploration; mystery; high stakes","A child descends into a beautiful but deadly abyss to uncover secrets and find her mother.",85,8.7,"Shinsekai Yori; Girls' Last Tour; The Promised Neverland"
Attack on Titan,"survival; military; mystery; political; high stakes","Humanity fights giant humanoid enemies while uncovering conspiracies about the world beyond the walls.",99,8.8,"Kabaneri; Knights of Sidonia; Fullmetal Alchemist"
Ghost in the Shell SAC,"cyberpunk; AI; politics; crime; philosophy","A cybernetic police unit investigates crimes involving AI, networks, and post-human identity.",80,8.4,"Psycho-Pass; Serial Experiments Lain; Ergo Proxy"
